,Name,lat,lon,Positive Percentage,Negative Percentage,Tweet Activity
0,Admiralty,22.279412,114.16455900000001,0.47855787476280837,0.02428842504743833,2635
1,Airport,22.3158675,113.93656159999999,0.2571017619561309,0.03308162531463502,2781
2,AsiaWorld-Expo,22.320834100000003,113.9418389,0.5020242914979757,0.032388663967611336,494
3,Austin,22.3037387,114.16676090000001,0.5100529100529101,0.030687830687830688,945
4,Causeway Bay,22.2803747,114.18504209999999,0.4685745335989857,0.019018293787357362,5521
5,Central,22.2819318,114.15825890000002,0.481793039870938,0.021779211799953905,8678
6,Chai Wan,22.264625,114.23713899999998,0.25925925925925924,0.005291005291005291,189
7,Che Kung Temple,22.374760000000002,114.185953,0.3380281690140845,0.014084507042253521,142
8,Cheung Sha Wan,22.3354196,114.15625220000001,0.6122448979591837,0.061224489795918366,245
9,Choi Hung,22.3348647,114.2089797,0.4742268041237113,0.0,97
10,City One,22.383031699999997,114.20381440000001,0.3924050632911392,0.03164556962025317,158
11,Diamond Hill,22.340017,114.201698,0.5394736842105263,0.015350877192982455,456
12,Disneyland,22.3153543,114.04518759999999,0.6354479211315902,0.020788684097728247,4666
13,East Tsim Sha Tsui,22.294815399999997,114.17343170000001,0.4989001319841619,0.02331720193576771,4546
14,Fanling,22.492073,114.138691,0.47368421052631576,0.0,57
15,Fo Tan,22.3954327,114.1983009,0.5526315789473685,0.042105263157894736,190
16,Fortress Hill,22.2883137,114.19389299999999,0.459546925566343,0.025889967637540454,618
17,Hang Hau,22.315600600000003,114.26440459999999,0.5660377358490566,0.025157232704402517,159
18,Heng Fa Chuen,22.276867000000003,114.2399398,0.25806451612903225,0.0,31
19,Heng On,22.4178374,114.2258646,0.5714285714285714,0.031746031746031744,63
20,HKU,22.2839732,114.1350158,0.5801169590643275,0.028070175438596492,855
21,Ho Man Tin,22.309359399999998,114.1827294,0.37410071942446044,0.04316546762589928,417
22,Hong Kong,22.284679999999998,114.15815,0.4774774774774775,0.022712853698769193,7881
23,Hung Hom,22.303253299999998,114.18160890000001,0.433456561922366,0.02865064695009242,1082
24,Jordan,22.304920000000003,114.171677,0.5228586442459274,0.03678402522333158,1903
25,Kam Sheung Road,22.43475,114.06352,0.4230769230769231,0.0,26
26,Kennedy Town,22.2812467,114.12888249999999,0.5778546712802768,0.039792387543252594,578
27,Kowloon,22.304306,114.161475,0.5180616740088105,0.01762114537444934,1135
28,Kowloon Bay,22.32317,114.21412,0.5362318840579711,0.03985507246376811,276
29,Kowloon Tong,22.3369164,114.17620009999999,0.45714285714285713,0.018487394957983194,595
30,Kwai Fong,22.356831200000002,114.12781509999998,0.3684210526315789,0.06578947368421052,152
31,Kwai Hing,22.3631499,114.1312055,0.5684210526315789,0.031578947368421054,95
32,Kwun Tong,22.3122783,114.2262581,0.5380577427821522,0.03543307086614173,762
33,Lai Chi Kok,22.336874800000004,114.1483108,0.5523809523809524,0.02095238095238095,525
34,Lai King,22.348416,114.12616100000001,0.34,0.0,50
35,Lam Tin,22.306855,114.23273300000001,0.35802469135802467,0.012345679012345678,81
36,Lei Tung,22.242440300000002,114.1559308,0.47572815533980584,0.04854368932038835,103
37,Lo Wu,22.5281007,114.1133531,0.13725490196078433,0.0196078431372549,51
38,LOHAS Park,22.2963137,114.26959840000002,0.6888888888888889,0.044444444444444446,45
39,Lok Fu,22.338026,114.187022,0.5263157894736842,0.019736842105263157,152
40,Lok Ma Chau,22.514830399999997,114.06564509999998,0.72,0.04,25
41,Long Ping,22.4476813,114.02548490000001,0.432258064516129,0.05806451612903226,155
42,Ma On Shan,22.4248655,114.2318416,0.4642857142857143,0.008928571428571428,112
43,Mei Foo,22.3375848,114.13798359999998,0.5454545454545454,0.049586776859504134,121
44,Mong Kok,22.3192711,114.1693622,0.48653375306051067,0.028681357117873382,2859
45,Mong Kok East,22.322167699999998,114.1725674,0.47798119742701634,0.028698664027709056,2021
46,Nam Cheong,22.3267772,114.15367990000001,0.36666666666666664,0.03333333333333333,60
47,Ngau Tau Kok,22.3154622,114.2191418,0.525691699604743,0.04743083003952569,253
48,North Point,22.2912707,114.2004947,0.4255813953488372,0.03255813953488372,430
49,Ocean Park,22.2487424,114.1745163,0.5470383275261324,0.01916376306620209,574
50,Olympic,22.317771,114.16022,0.5441527446300716,0.045346062052505964,419
51,Po Lam,22.322511,114.25783200000001,0.6710526315789473,0.013157894736842105,76
52,Prince Edward,22.32463,114.16826,0.4940239043824701,0.033200531208499334,1506
53,Quarry Bay,22.287888100000004,114.2097482,0.4933837429111531,0.04158790170132325,529
54,Racecourse,22.401083,114.20339469999999,0.42196531791907516,0.0,173
55,Sai Wan Ho,22.2820984,114.2220997,0.4657534246575342,0.0273972602739726,219
56,Sai Ying Pun,22.285636,114.1427419,0.5388086642599278,0.0388086642599278,1108
