Name,lat,lon
Admiralty,22.2793925,114.1648528
Airport,22.3158106,113.9365921
AsiaWorld-Expo,22.32199138,113.9422168
Austin,22.3041946,114.166541
Causeway Bay,22.2800043,114.1840167
Central,22.2816058,114.1594241
Chai Wan,22.2645985,114.2370649
Che Kung Temple,22.3747458,114.1864113
Cheung Sha Wan,22.3355827,114.1562191
Choi Hung,22.3346615,114.2095833
City One,22.3829861,114.2038185
Diamond Hill,22.3400435,114.2016117
Disneyland,22.3179934,114.0372566
East Tsim Sha Tsui,22.2952166,114.1746402
Fanling,22.4920779,114.1387074
Fo Tan,22.3953371,114.1984531
Fortress Hill,22.2875967,114.1932047
Hang Hau,22.31564279,114.2644363
Heng Fa Chuen,22.276619,114.2397239
Heng On,22.4178022,114.225998
HKU,22.2838947,114.135518
Ho Man Tin,22.30936,114.18273
Hong Kong,22.2844627,114.1581992
Hung Hom,22.3027981,114.1814484
Jordan,22.3050921,114.1716158
Kam Sheung Road,22.4347123,114.0634122
Kennedy Town,22.2810725,114.1284282
Kowloon,22.3049213,114.1616346
Kowloon Bay,22.3235575,114.2141658
Kowloon Tong,22.3370065,114.175856
Kwai Fong,22.3569485,114.1279597
Kwai Hing,22.3630286,114.1312549
Kwun Tong,22.3122411,114.2265468
Lai Chi Kok,22.337227,114.1477042
Lai King,22.3484859,114.126244
Lam Tin,22.3066932,114.2328628
Lei Tung,22.24245,114.15594
Lo Wu,22.5282164,114.1131506
LOHAS Park,22.2952194,114.2683476
Lok Fu,22.3381583,114.1876065
Lok Ma Chau,22.5144476,114.0657907
Long Ping,22.447582,114.0253303
Ma On Shan,22.4248845,114.2317636
Mei Foo,22.3380846,114.1364165
Mong Kok,22.3192417,114.1693199
Mong Kok East,22.3217126,114.1725869
Nam Cheong,22.3266391,114.1538155
Ngau Tau Kok,22.3154582,114.2192625
North Point,22.2911726,114.2007729
Ocean Park,22.24874,114.17452
Olympic,22.317703,114.1604114
Po Lam,22.32254544,114.2579043
Prince Edward,22.3244406,114.1682327
Quarry Bay,22.2881703,114.2089006
Sai Wan Ho,22.2816237,114.2222818
Sai Ying Pun,22.2853513,114.1429207
Sha Tin,22.3826707,114.1877632
Sha Tin Wai,22.3769209,114.1948085
Sham Shui Po,22.3306971,114.1624969
Shau Kei Wan,22.2790272,114.2286373
Shek kip Mei,22.3318116,114.1686884
Shek Mun,22.3877625,114.2085828
Sheung Shui,22.5011324,114.128062
Sheung Wan,22.2864509,114.1520374
Siu Hong,22.4118044,113.9790161
South Horizons,22.24286,114.14874
Sunny Bay,22.3319323,114.0287591
Tai Koo,22.2844656,114.2163547
Tai Po Market,22.4444854,114.170774
Tai Shui Hang,22.4084038,114.2228864
Tai Wai,22.3730777,114.1785419
Tai Wo,22.4509693,114.1611995
Tai Wo Hau,22.3706421,114.1249089
Tin Hau,22.2821939,114.192026
Tin Shui Wai,22.4483602,114.0050227
Tiu Keng Leng,22.3040229,114.2524084
Tseung Kwan O,22.3073895,114.2599648
Tsim Sha Tsui,22.296209,114.1722246
Tsing Yi,22.358341,114.1074211
Tsuen Wan,22.3735787,114.1178289
Tsuen Wan West,22.36818,114.1101476
Tuen Mun,22.3952263,113.9733065
Tung Chung,22.2891578,113.9414054
University,22.4133801,114.2100888
Wan Chai,22.2775557,114.1729643
Whampoa,22.3051,114.1895
Wong Chuk Hang,22.24799,114.16806
Wong Tai Sin,22.3416012,114.1943316
Wu Kai Sha,22.4292202,114.243854
Yau Ma Tei,22.3130684,114.1707311
Yau Tong,22.2978507,114.2372328
Yuen Long,22.4459674,114.0353824
Racecourse,22.40078,114.20314
